Team,ohio-state,texas-san-antonio,george-mason,villanova,west-virginia,clemson,kentucky,princeton,xavier,marquette,syracuse,indiana-state,washington,georgia,north-carolina,long-island-university,pittsburgh,north-carolina-asheville,butler,old-dominion,kansas-state,utah-state,wisconsin,belmont,st-johns-ny,gonzaga,brigham-young,wofford,ucla,michigan-state,florida,california-santa-barbara,kansas,boston-university,nevada-las-vegas,illinois,vanderbilt,richmond,louisville,morehead-state,georgetown,virginia-commonwealth,purdue,saint-peters,texas-am,florida-state,notre-dame,akron,duke,hampton,michigan,tennessee,arizona,memphis,texas,oakland,cincinnati,missouri,connecticut,bucknell,temple,penn-state,san-diego-state,northern-colorado
2 Pt Field Goal Percent,0.7234042553191494,0.3191489361702127,0.5460992907801421,0.39007092198581567,0.3404255319148936,0.4822695035460995,0.43262411347517743,0.5957446808510641,0.6595744680851068,0.5531914893617024,0.7092198581560288,0.2836879432624117,0.6950354609929082,0.43262411347517743,0.4539007092198583,0.5815602836879435,0.5531914893617024,0.4964539007092201,0.41134751773049655,0.3829787234042554,0.290780141843972,0.6382978723404259,0.4397163120567377,0.6737588652482274,0.4680851063829789,0.6666666666666671,0.5460992907801421,0.5460992907801421,0.567375886524823,0.2978723404255319,0.6382978723404259,0.5319148936170215,1.0,0.04255319148936175,0.6241134751773053,0.5531914893617024,0.5957446808510641,0.5106382978723406,0.6241134751773053,0.5744680851063833,0.8510638297872346,0.3758865248226951,0.43262411347517743,0.0,0.42553191489361714,0.41134751773049655,0.567375886524823,0.326241134751773,0.6950354609929082,0.1631205673758867,0.6595744680851068,0.42553191489361714,0.5886524822695038,0.5886524822695038,0.3829787234042554,0.9290780141843978,0.43262411347517743,0.5177304964539009,0.3546099290780142,0.2836879432624117,0.42553191489361714,0.4893617021276598,0.5957446808510641,0.19148936170212788
3 Pt Field Goal Percent,1.0,0.41463414634146334,0.772357723577236,0.3902439024390243,0.30081300813008155,0.35772357723577225,0.7886178861788621,0.5121951219512195,0.23577235772357744,0.3983739837398373,0.4390243902439024,0.5040650406504065,0.5772357723577236,0.34146341463414664,0.22764227642276444,0.4959349593495935,0.772357723577236,0.2113821138211384,0.42276422764227634,0.23577235772357744,0.6178861788617888,0.5447154471544716,0.6016260162601627,0.6341463414634148,0.28455284552845556,0.5691056910569107,0.4959349593495935,0.8130081300813011,0.21951219512195141,0.4471544715447154,0.42276422764227634,0.5853658536585367,0.6666666666666669,0.4471544715447154,0.24390243902439046,0.7073170731707319,0.5772357723577236,0.7317073170731709,0.5040650406504065,0.3170731707317076,0.4308943089430894,0.5691056910569107,0.5203252032520326,0.35772357723577225,0.3170731707317076,0.2764227642276425,0.6991869918699188,0.4959349593495935,0.6016260162601627,0.19512195121951237,0.42276422764227634,0.0,0.7886178861788621,0.23577235772357744,0.6178861788617888,0.6016260162601627,0.3089430894308946,0.5365853658536586,0.23577235772357744,0.8130081300813011,0.4308943089430894,0.3170731707317076,0.3983739837398373,0.7073170731707319
Total Field Goal Percent,0.8703703703703702,0.26851851851851827,0.6574074074074071,0.3518518518518517,0.26851851851851827,0.39814814814814803,0.5462962962962964,0.601851851851852,0.5648148148148149,0.601851851851852,0.6666666666666663,0.26851851851851827,0.6388888888888885,0.48148148148148145,0.4722222222222222,0.5740740740740742,0.6944444444444441,0.48148148148148145,0.30555555555555536,0.361111111111111,0.3518518518518517,0.6481481481481478,0.3796296296296295,0.5740740740740742,0.5092592592592593,0.7314814814814812,0.45370370370370366,0.7129629629629627,0.5092592592592593,0.2870370370370368,0.601851851851852,0.5,1.0,0.01851851851851854,0.5462962962962964,0.6296296296296298,0.5370370370370371,0.5462962962962964,0.49074074074074076,0.5,0.6944444444444441,0.3148148148148146,0.4351851851851851,0.0,0.3796296296296295,0.3240740740740739,0.5555555555555556,0.27777777777777757,0.6574074074074071,0.04629629629629634,0.44444444444444436,0.2870370370370368,0.6388888888888885,0.4722222222222222,0.5092592592592593,0.8518518518518517,0.34259259259259245,0.5370370370370371,0.3148148148148146,0.4259259259259259,0.4351851851851851,0.361111111111111,0.5833333333333334,0.259259259259259
Offensive Rebounds Percent,0.49666666666666665,0.31,0.31333333333333335,0.44,0.6633333333333333,0.38,0.5833333333333334,0.15,0.19333333333333333,0.6233333333333333,0.53,0.2733333333333333,0.7266666666666667,0.45666666666666667,0.85,0.6966666666666667,0.7133333333333334,0.43333333333333335,0.5366666666666666,0.8466666666666667,0.7366666666666667,0.31,0.2833333333333333,0.6033333333333334,0.28,0.4266666666666667,0.5,0.34,0.45,0.45666666666666667,0.6566666666666666,0.023333333333333334,0.5966666666666667,0.48333333333333334,0.32666666666666666,0.24,0.3333333333333333,0.24666666666666667,0.5466666666666666,0.7133333333333334,0.18,0.5233333333333333,0.36666666666666664,0.38,0.47333333333333333,0.5066666666666667,0.33666666666666667,0.31,0.5866666666666667,0.3233333333333333,0.06333333333333334,0.6466666666666666,0.46,0.5033333333333333,0.7466666666666667,0.6033333333333334,0.6133333333333333,0.5166666666666667,1.0,0.0,0.3466666666666667,0.22333333333333333,0.6733333333333333,0.35
Steal Percent,0.6543778801843319,0.5483870967741935,0.47465437788018433,0.4009216589861751,0.15207373271889402,0.695852534562212,0.4147465437788018,0.3225806451612903,0.24423963133640553,0.663594470046083,0.8433179723502304,0.41935483870967744,0.5207373271889401,0.4147465437788018,0.511520737327189,0.576036866359447,0.17972350230414746,0.8709677419354839,0.4838709677419355,0.5207373271889401,0.4009216589861751,0.1889400921658986,0.0,1.0,0.6682027649769585,0.6129032258064516,0.815668202764977,0.48847926267281105,0.2995391705069124,0.45161290322580644,0.4608294930875576,0.5161290322580645,0.8018433179723502,0.31336405529953915,0.6774193548387096,0.3087557603686636,0.2488479262672811,0.45622119815668205,0.9493087557603687,0.8248847926267281,0.3317972350230415,0.9539170506912442,0.4147465437788018,0.6543778801843319,0.43317972350230416,0.7695852534562212,0.16129032258064516,0.5483870967741935,0.6820276497695853,0.5529953917050692,0.21658986175115208,0.5944700460829493,0.35023041474654376,0.8110599078341014,0.39631336405529954,0.4377880184331797,0.631336405529954,0.9585253456221198,0.6359447004608295,0.17972350230414746,0.5069124423963134,0.1382488479262673,0.48847926267281105,0.3225806451612903
Block Percent,0.35638297872340424,0.13297872340425532,0.31382978723404253,0.39361702127659576,0.4521276595744681,0.5851063829787234,1.0,0.44148936170212766,0.25,0.44148936170212766,0.9574468085106383,0.5,0.6808510638297872,0.5904255319148937,0.8138297872340425,0.3191489361702128,0.3191489361702128,0.5372340425531915,0.05319148936170213,0.5053191489361702,0.5478723404255319,0.31382978723404253,0.2872340425531915,0.35638297872340424,0.22872340425531915,0.4308510638297872,0.526595744680851,0.18617021276595744,0.7819148936170213,0.6170212765957447,0.425531914893617,0.43617021276595747,0.5425531914893617,0.4148936170212766,0.3882978723404255,0.5372340425531915,0.5904255319148937,0.5531914893617021,0.6595744680851063,0.31382978723404253,0.46808510638297873,0.4734042553191489,0.4787234042553192,0.5478723404255319,0.0,0.8085106382978723,0.4095744680851064,0.4148936170212766,0.5904255319148937,0.7127659574468085,0.09574468085106383,0.39893617021276595,0.25,0.7021276595744681,0.7021276595744681,0.75,0.4148936170212766,0.6382978723404256,0.9414893617021277,0.2925531914893617,0.5585106382978723,0.16489361702127658,0.6329787234042553,0.05851063829787234
3 Pt Field Goal Attempts,0.5040816326530613,0.4897959183673469,0.3,0.36122448979591837,0.37551020408163266,0.4142857142857143,0.5714285714285714,0.21224489795918366,0.20204081632653062,0.24489795918367346,0.41020408163265304,0.4530612244897959,0.8040816326530612,0.05918367346938776,0.31020408163265306,0.42448979591836733,0.17346938775510204,0.17959183673469387,0.8061224489795918,0.15918367346938775,0.4163265306122449,0.2755102040816326,0.6469387755102041,0.8918367346938776,0.0,0.24693877551020407,0.8938775510204081,0.1346938775510204,0.20816326530612245,0.39387755102040817,0.4775510204081633,0.37551020408163266,0.5775510204081633,0.6530612244897959,0.2673469387755102,0.35306122448979593,0.573469387755102,0.6285714285714286,0.8714285714285714,0.3551020408163265,0.4163265306122449,1.0,0.4448979591836735,0.2979591836734694,0.21836734693877552,0.42244897959183675,0.573469387755102,0.7306122448979592,0.7163265306122449,0.4714285714285714,0.7693877551020408,0.3183673469387755,0.6489795918367347,0.4326530612244898,0.22040816326530613,0.6938775510204082,0.45714285714285713,0.49387755102040815,0.5795918367346938,0.3224489795918367,0.3183673469387755,0.4306122448979592,0.4326530612244898,0.46938775510204084
2 Pt Field Goal Attempts,0.5049088359046283,0.25105189340813466,0.36746143057503505,0.2664796633941094,0.2664796633941094,0.24123422159887797,0.6325385694249649,0.19635343618513323,0.20897615708274894,0.7321178120617111,0.4628330995792426,0.16690042075736325,0.5806451612903226,0.4782608695652174,1.0,0.4894810659186536,0.46143057503506313,0.5750350631136045,0.3856942496493689,0.4179523141654979,0.39691444600280507,0.28190743338008417,0.0546984572230014,0.2187938288920056,0.45021037868162694,0.5245441795231417,0.5287517531556802,0.46984572230014027,0.37868162692847124,0.3492286115007013,0.5568022440392707,0.0,0.6423562412342216,0.13043478260869565,0.3548387096774194,0.3997194950911641,0.16830294530154277,0.34642356241234223,0.30575035063113604,0.34782608695652173,0.06591865357643759,0.4011220196353436,0.40252454417952316,0.25806451612903225,0.2244039270687237,0.34221598877980364,0.1388499298737728,0.3688639551192146,0.5652173913043478,0.2244039270687237,0.08415147265077139,0.4670406732117812,0.4123422159887798,0.4361851332398317,0.7559607293127629,0.4838709677419355,0.3688639551192146,0.6325385694249649,0.9719495091164095,0.3436185133239832,0.46984572230014027,0.11921458625525946,0.6690042075736325,0.0364656381486676
Total Field Goal Attempts,0.5334174022698613,0.296343001261034,0.2837326607818411,0.23076923076923078,0.23959646910466584,0.2408575031525851,0.6897856242118537,0.07566204287515763,0.0807061790668348,0.5775535939470365,0.43757881462799497,0.19798234552332913,0.7868852459016393,0.23455233291298866,0.8587641866330391,0.4703656998738966,0.2900378310214376,0.39596469104665827,0.6128625472887768,0.2421185372005044,0.38209331651954603,0.19167717528373265,0.21689785624211855,0.5157629255989912,0.17276166456494324,0.3921815889029004,0.7957124842370744,0.27364438839848676,0.23707440100882723,0.3253467843631778,0.5636822194199244,0.0,0.7023959646910467,0.28877679697351827,0.25220680958385877,0.3455233291298865,0.27364438839848676,0.467843631778058,0.5813366960907944,0.30012610340479196,0.08448928121059268,0.7465321563682219,0.4047919293820933,0.1841109709962169,0.10466582597730138,0.33669609079445145,0.2471626733921816,0.5510718789407314,0.7187894073139974,0.2610340479192938,0.31904161412358134,0.38461538461538464,0.5397225725094578,0.4274905422446406,0.5838587641866331,0.6317780580075663,0.38209331651954603,0.6418663303909206,1.0,0.27616645649432536,0.3871374527112232,0.14123581336696092,0.6368221941992434,0.09079445145018916
Opponent Points Per Game,0.07027027027027047,0.5999999999999999,0.2216216216216216,0.3783783783783786,0.3405405405405406,0.1621621621621621,0.27567567567567564,0.24864864864864863,0.33513513513513477,0.5621621621621619,0.2648648648648647,0.3297297297297297,0.6648648648648648,0.32432432432432456,0.5621621621621619,0.881081081081081,0.14054054054054058,0.5513513513513509,0.30810810810810774,0.0,0.41621621621621585,0.01621621621621644,0.01081081081081096,0.20540540540540556,0.4648648648648648,0.40540540540540565,0.5135135135135137,0.5189189189189188,0.4270270270270268,0.4432432432432428,0.2702702702702702,0.39999999999999974,0.3405405405405406,0.27567567567567564,0.24324324324324315,0.3783783783783786,0.5027027027027028,0.15135135135135153,0.3297297297297297,0.18378378378378363,0.4270270270270268,0.4540540540540538,0.18918918918918912,0.09189189189189201,0.1351351351351351,0.1945945945945946,0.3837837837837837,0.39459459459459467,0.3405405405405406,0.23243243243243258,0.2216216216216216,0.49189189189189175,0.5135135135135137,0.5351351351351349,0.20540540540540556,1.0,0.064864864864865,0.713513513513513,0.3513513513513516,0.2972972972972972,0.2216216216216216,0.2216216216216216,0.043243243243243454,0.39999999999999974
